"date per day","Sum of amount"
"2023-03-20","159.154"
"2023-03-21","65.491"
"2023-03-22","65.78"
"2023-03-23","32.929"
"2023-03-24","203.262"
"2023-03-25","51.071"
"2023-03-26","32.75"
"2023-03-27","30.26"
"2023-03-28","31.59"
"2023-03-29","48.91"
"2023-03-30","84.982"
"2023-03-31","42.881"
"2023-04-01","26.901"
"2023-04-02","19.975"
"2023-04-03","140.965"
"2023-04-04","28.232"
"2023-04-05","33.446"
"2023-04-06","93.663"
"2023-04-07","113.336"
"2023-04-08","25.879"
"2023-04-09","73.186"
"2023-04-10","77.469"
"2023-04-11","88.101"
"2023-04-12","179.549"
"2023-04-13","39.715"
"2023-04-14","34.753"
"2023-04-15","87.35"
"2023-04-16","48.397"
"2023-04-17","18.106"
"2023-04-18","233.549"
"2023-04-19","31.71"
"2023-04-20","26.4"
"2023-04-21","20.698"
"2023-04-22","125.825"
"2023-04-23","30.85"
"2023-04-24","18.072"
"2023-04-25","42.58"
"2023-04-26","29.931"
"2023-04-27","13.547"
"2023-04-28","188.195"
"2023-04-29","5.095"
"2023-04-30","28.495"
"2023-05-01","17.755"
"2023-05-02","21.69"
"2023-05-03","24.63"
"2023-05-04","2.225"
"2023-05-05","3.457"
"2023-05-06","15.028"
"2023-05-07","5.54"
"2023-05-08","3.144"
"2023-05-09","1.5"
"2023-05-10","285.141"
"2023-05-11","48.504"
"2023-05-12","40.5"
"2023-05-13","24.22"
"2023-05-14","20.505"
"2023-05-15","3.66"
"2023-05-16","13.3"
"2023-05-17","0.531"
"2023-05-18","13.001"
"2023-05-19","59.74"
"2023-05-20","1.24"
"2023-05-21","2.23"
"2023-05-22","112.75"
"2023-05-23","4.469"
"2023-05-24","10.4"
"2023-05-25","7.8"
"2023-05-26","2.42"
"2023-05-27",10
"2023-05-28",14
"2023-05-29","79.18"
"2023-05-30","40.355"
"2023-05-31","17.352"
"2023-06-01",0
"2023-06-02",1
"2023-06-03","29.669"
"2023-06-04","4.15"
"2023-06-05","0.946"
"2023-06-06","25.14"
"2023-06-07","1.6"
"2023-06-08","0.505"
"2023-06-09","1.323"
"2023-06-10","162.673"
"2023-06-11","3.2"
"2023-06-12","123.336"
"2023-06-13","79.322"
"2023-06-14","8.586"
"2023-06-15","0.7"
"2023-06-16","25.42"
"2023-06-17","40.244"
"2023-06-18","9.59"
"2023-06-19","2.61"
"2023-06-20",0
"2023-06-21","0.83"
"2023-06-22",0
"2023-06-23","0.804"
"2023-06-24","21.134"
"2023-06-25","10.18"
"2023-06-26","22.23"
"2023-06-27",13
"2023-06-28","1.4"
"2023-06-29","23.256"
"2023-06-30",0
"2023-07-01","178.641"
"2023-07-02",0
"2023-07-03",0
"2023-07-04",0
"2023-07-05",0
"2023-07-06",0
"2023-07-07","12.746"
"2023-07-08","285.302"
"2023-07-09","26.174"
"2023-07-10","5.344"
"2023-07-11","9.563"
"2023-07-12","1.45"
"2023-07-13",0
"2023-07-14","0.7"
"2023-07-15","0.049"
"2023-07-16",0
"2023-07-17","17.757"
"2023-07-18","0.369"
"2023-07-19","6.687"
"2023-07-20","15.501"
